Flagged Keyword,Less Harsh Keyword,Alternative Keyword,Opposite Keyword
bullied,teased,mistreated,celebrated
steals,takes,grabs,gives
shamed,embarrassed,insecure,proud
poor,broke,struggling,wealthy
forced,pressured,coerced,voluntary
scammed,tricked,deceived,treated fairly
abuses,mistreats,hurts,supports
addicted,hooked,dependent,balanced
dumped,ditched,left,loved
hates,dislikes,avoids,loves
harassed,bothered,annoyed,respected
tormented,troubled,unwell,peaceful
shunned,ignored,isolated,included
made fun of,teased,mocked,admired
alienated,isolated,alone,connected
ostracized,left out,unwelcome,welcomed
neglected,overlooked,forgotten,cared
kill,harm,end life,preserve
death,loss,tragedy,life
suicide,mental health struggle,struggling,hope
murder,crime,violence,justice
abortion,sensitive topic,controversial,choice
abducted,taken,removed,safe
abduction,kidnapping,taken,home
molested,assaulted,violated,safe
raped,attacked,harmed,safe
pedophile,abuser,criminal,trusted
terrorist,criminal,extremist,citizen
assault,attack,attack,defended
violence,conflict,chaos,harmony
violent,aggressive,hostile,calm
shot,injured,wounded,healed
gun,weapon,firearm,safety
arrested,detained,charged,freed
jail,custody,jailed,released
prison,confinement,imprisoned,rehabilitated
drugs,substances,narcotics,health
drug addict,struggling with addiction,addiction,recovery
prostitute,sex worker,worker,worker
incest,inappropriate relationship,taboo,accepted
porn,explicit content,adult content,family-friendly
nude,unclothed,bare,clothed
naked,exposed,revealing,modest
ugly,unattractive,homely,beautiful
crippled,injured,disabled,able-bodied
fat,overweight,large-bodied,fit
stupid,uninformed,naive,wise
scam,mislead,deceive,transparent
scams,misleads,deceptions,honest actions
scammer,trickster,fraudster,truthful person
scammed,tricked,deceived,treated fairly
scamming,deceiving,misleading,being honest
revenge,retaliation,getting back,forgiveness
evil,bad,mean,good
bully,aggressor,tormentor,protector
bullies,aggressors,tormentors,protectors
bullied,teased,mistreated,celebrated
devil,villain,enemy,angel
force,pressure,compel,free will
forced,pressured,coerced,voluntary
forces,compels,pressures,respects
forcing,pressuring,coercing,inviting
injure,hurt,harm,heal
injured,hurt,wounded,healed
injures,harms,wounds,helps
victim,target,subject,survivor
kill,harm,end life,preserve
killing,harming,taking life,saving
killed,harmed,ended,rescued
kills,harms,destroys,saves
