Flagged Keyword,Less Harsh Keyword,Alternative Keyword,Opposite Keyword
scam,trick,mislead,trust
scams,mislead,misleads,trusts
scammer,con,fraudster,helper
scammed,deceived,fooled,helped
scamming,deceiving,tricking,helping
revenge,payback,justice,forgiveness
evil,mean,bad,good
bully,tease,challenger,support
bullies,teasers,challengers,supporters
bullied,teased,challenged,celebrated
devil,villain,enemy,angel
force,pressure,urge,freedom
forced,pressured,urged,free
forces,persuades,coerces,liberates
forcing,pushing,urging,allowing
injure,hurt,pain,heal
injured,hurt,hurt,healed
injures,hurts,injures,heals
victim,target,survivor,protector
kill,harm,attack,save
killed,harmed,attacked,saved
killing,harming,fighting,saving
kills,hurts,attacks,saves
violence,aggression,conflict,peace
violent,aggressive,intense,calm
abuse,mistreat,mistreatment,care
abused,mistreated,hurt,respected
abusive,controlling,controlling,gentle
porn,explicit,adult,safe
pornographic,mature,explicit,clean
sex,intimacy,intimate,love
sexual,romantic,flirty,affection
sexy,attractive,provocative,classy
nude,bare,revealing,dressed
nudity,unclothed,bare skin,clothed
trauma,shock,distress,comfort
traumatized,affected,shocked,resilient
molest,assault,incident,cared for
molestation,incident,experience,safe
harass,bother,uncomfortable,respected
harassed,offended,teased,supported
harassment,mistreatment,mistreatment,kindness
murder,crime,crime,rescue
raped,attacked,attacked,safe
rape,assault,incident,prevention
rapist,attacker,offender,supporter
suicide,loss,dark thoughts,hope
suicidal,distressed,crisis,healing
death,passing,loss,life
dead,gone,gone,alive
toxic,unhealthy,harmful,healthy
steals,takes,borrows,gives
shamed,embarrassed,humiliated,praised
poor,struggling,broke,wealthy
abuses,mistreats,hurts,cares for
addicted,dependent,obsessed,balanced
dumped,left,rejected,chosen
hates,dislikes,disrespects,loves
tormented,mistreated,bullied,comforted
shunned,ignored,excluded,welcomed
alienated,excluded,separated,included
ostracized,left out,excluded,embraced
neglected,overlooked,forgotten,valued
